ID,Name,Year Published,Min Players,Max Players,Play Time,Min Age
83330,Mansions of Madness,2011,2,5,180,13
95527,Madeira,2013,2,4,150,12
62227,Labyrinth: The War on Terror, 2001 - ?,2010,1,2,180
194607,Mystic Vale,2016,2,4,45,14
150,PitchCar,1995,2,8,30,6
162082,Deus,2014,2,4,90,14
260605,Camel Up (Second Edition),2018,3,8,45,8
65781,London,2010,2,4,90,13
158899,Colt Express,2014,2,6,40,10
105551,Archipelago,2012,2,5,240,14
98778,Hanabi,2010,2,5,25,8
372,Schotten Totten,1999,2,2,20,8
13,Catan,1995,3,4,120,10
127398,Legends of Andor,2012,2,4,90,10
206941,First Class: All Aboard the Orient Express!,2016,2,4,80,10
244271,Dice Throne: Season Two - Battle Chest,2018,2,6,40,8
102652,Sentinels of the Multiverse,2011,2,5,60,8
119506,Freedom: The Underground Railroad,2012,1,4,120,13
875,Roads & Boats,1999,1,4,240,14
97786,Small World Underground,2011,2,5,90,8
478,Citadels,2000,2,8,60,10
171668,The Grizzled,2015,2,5,30,14
15062,Shadows over Camelot,2005,3,7,80,10
133848,Euphoria: Build a Better Dystopia,2013,2,6,60,13
58421,Egizia,2009,2,4,90,12
191862,Imhotep,2016,2,4,40,10
20437,Lords of Vegas,2010,2,4,90,12
128271,Ginkgopolis,2012,1,5,45,13
43570,Friday,2011,1,1,25,13
147949,One Night Ultimate Werewolf,2014,3,10,10,8
193042,Junk Art,2016,2,6,30,8
36553,Time's Up! Title Recall!,2008,4,18,60,12
144189,Fire in the Lake,2014,1,4,180,0
270844,Imperial Settlers: Empires of the North,2019,1,4,90,10
221965,The Fox in the Forest,2017,2,2,30,10
240196,Betrayal Legacy,2018,3,5,90,12
125618,Libertalia,2012,2,6,60,14
233312,Stuffed Fables,2018,2,4,90,7
90419,Airlines Europe,2011,2,5,75,10
270633,Aeon's End: The New Age,2019,1,4,60,14
42052,Vinhos,2010,2,4,135,12
163968,Elysium,2015,2,4,60,14
9674,Ingenious,2004,1,4,45,10
21790,Thurn and Taxis,2006,2,4,60,10
257501,KeyForge: Call of the Archons,2018,2,2,45,14
31999,TZAAR,2007,2,2,60,13
192836,The Colonists,2016,1,4,360,12
256730,Pipeline,2019,2,4,120,12
218603,Photosynthesis,2017,2,4,60,10
34119,Tales of the Arabian Nights,2009,1,6,120,12
27173,Vikings,2007,2,4,60,10
232043,Queendomino,2017,2,4,25,8
171,Chess,1475,2,2,60,6
144797,Argent: The Consortium,2015,2,5,150,10
226522,Exit: The Game - Dead Man on the Orient Express,2017,1,4,90,12
180974,Potion Explosion,2015,2,4,45,8
133038,Pathfinder Adventure Card Game: Rise of the Runelords - Base Set,2013,1,4,90,13
18,RoboRally,1994,2,8,120,12
475,Taj Mahal,2000,3,5,100,12
97842,Last Will,2011,2,5,75,14
142379,Escape Plan,2019,1,5,120,12
133473,Sushi Go!,2013,2,5,15,8
181530,Runebound (Third Edition),2015,2,4,180,14
183562,Star Wars: X-Wing Miniatures Game - The Force Awakens Core Set,2015,2,2,45,14
22827,StarCraft: The Board Game,2007,2,6,240,12
12942,No Thanks!,2004,3,7,20,8
156858,Black Orchestra,2016,1,5,90,14
3685,Hammer of the Scots,2002,2,2,180,12
11,Bohnanza,1997,2,7,45,13
297030,Tekhenu: Obelisk of the Sun,2020,1,4,120,14
205398,Citadels,2016,2,8,60,10
27746,Colosseum,2007,3,5,90,10
156009,Port Royal,2014,2,5,50,8
31730,Chicago Express,2007,2,6,60,12
15363,Nexus Ops,2005,2,4,90,12
141572,Paperback,2014,2,5,45,8
183251,Karuba,2015,2,4,40,8
151022,Baseball Highlights: 2045,2015,1,4,45,9
91312,Discworld: Ankh-Morpork,2011,2,4,60,11
155703,Evolution,2014,2,6,60,12
39351,Automobile,2009,3,5,120,12
160010,Conan,2016,2,5,90,14
17405,1846: The Race for the Midwest,2005,3,5,240,14
6472,A Game of Thrones,2003,3,5,180,12
223040,Fantasy Realms,2017,3,6,20,14
6249,Alhambra,2003,2,6,60,8
128780,Pax Porfiriana,2012,1,6,120,12
140603,Francis Drake,2013,3,5,120,14
212445,Blood Bowl (2016 Edition),2016,2,2,120,12
159508,AquaSphere,2014,2,4,100,12
2346,DVONN,2001,2,2,30,9
39938,Carson City,2009,2,5,90,12
205359,Star Wars: Destiny,2016,2,2,30,10
251658,Sprawlopolis,2018,1,4,20,8
153938,Camel Up,2014,2,8,30,8
169255,A Game of Thrones: The Card Game (Second Edition),2015,2,4,120,14
271055,Dwellings of Eldervale,2020,1,5,150,14
73171,Earth Reborn,2010,2,4,180,13
113924,Zombicide,2012,1,6,60,14
262215,Blackout: Hong Kong,2018,1,4,150,14
42776,Gears of War: The Board Game,2011,1,4,180,14
245654,Railroad Ink: Deep Blue Edition,2018,1,6,30,8
196326,Love Letter Premium,2016,2,8,30,8
172308,Broom Service,2015,2,5,75,10
9625,Struggle of Empires,2004,2,7,240,13
262543,Wavelength,2019,2,12,45,14
143519,Quantum,2013,2,4,60,13
42215,Tobago,2009,2,4,60,10
302723,Forgotten Waters,2020,3,7,240,14
119432,Snowdonia,2012,1,5,90,10
231733,Obsession,2018,1,4,90,14
84419,Space Empires: 4X,2011,1,4,180,12
4390,Carcassonne: Hunters and Gatherers,2002,2,5,35,8
28023,Jamaica,2007,2,6,60,8
269144,Hadara,2019,2,5,60,10
174785,Mare Nostrum: Empires,2016,3,5,120,14
209778,Magic Maze,2017,1,8,15,8
1513,The Republic of Rome,1990,1,6,300,14
503,Through the Desert,1998,2,5,45,10
30869,Thebes,2007,2,4,60,8
130960,Triumph & Tragedy: European Balance of Power 1936-1945,2015,2,3,360,12
117959,Las Vegas,2012,2,5,30,8
131357,Coup,2012,2,6,15,13
163166,One Night Ultimate Werewolf Daybreak,2015,3,7,10,8
121408,Trains,2012,2,4,45,12
170561,Valeria: Card Kingdoms,2016,1,5,45,13
24508,Taluva,2006,2,4,45,8
116998,Thunderstone Advance: Towers of Ruin,2012,1,5,45,12
58281,Summoner Wars,2009,2,4,60,9
202426,Sidereal Confluence: Remastered Edition,2017,4,9,180,14
150997,Shadows of Brimstone: Swamps of Death,2014,1,4,180,12
180511,Shakespeare,2015,1,4,90,13
50750,Belfort,2011,2,5,120,12
121288,Dixit: Journey,2012,3,6,30,8
135219,The Battle of Five Armies,2014,2,2,240,13
37904,Formula D,2008,2,10,60,8
10547,Betrayal at House on the Hill,2004,3,6,60,12
198953,Pax Renaissance,2016,2,4,120,12
1353,Time's Up!,1999,4,18,90,12
216734,Dice Throne: Season One,2018,2,6,40,8
